modelo,linguagem,slug,id_questao,categoria_declarada,categoria_calculada,categoria_ok,status,aceito,tempo_ms,memoria_mb,submission_id,ground_truth
llama3-8b-8192,Java,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,14,41.9,1771562598,False
llama3-8b-8192,Python3,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,265,17.8,1771562800,False
meta-llama_llama-4-maverick-17b-128e-instruct,C++,longest-palindromic-substring,5,plausible,actual_correct,False,Accepted,True,3,9.3,1771562981,False
meta-llama_llama-4-maverick-17b-128e-instruct,Java,longest-palindromic-substring,5,plausible,actual_correct,False,Accepted,True,19,45.0,1771563163,False
meta-llama_llama-4-maverick-17b-128e-instruct,Python3,longest-palindromic-substring,5,actual_correct,invalid,False,Runtime Error,False,,,1771563328,False
meta-llama_llama-4-scout-17b-16e-instruct,C++,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,81,174.1,1771563494,False
meta-llama_llama-4-scout-17b-16e-instruct,Java,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,17,41.9,1771563681,False
meta-llama_llama-4-scout-17b-16e-instruct,Python3,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,251,18.1,1771563851,False
moonshotai_kimi-k2-instruct,C++,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,3,9.4,1771564063,False
moonshotai_kimi-k2-instruct,Java,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,14,42.1,1771564221,False
moonshotai_kimi-k2-instruct,Python3,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,247,18.1,1771564407,False
qwen_qwen3-32b,C++,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,8,9.5,1771564590,False
qwen_qwen3-32b,Java,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,17,42.0,1771564778,False
qwen_qwen3-32b,Python3,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,258,17.9,1771565004,False
allam-2-7b,C++,reverse-integer,7,actual_correct,invalid,False,Compile Error,False,,,1771565204,False
allam-2-7b,Java,reverse-integer,7,actual_correct,invalid,False,Compile Error,False,,,1771565380,False
allam-2-7b,Python3,reverse-integer,7,actual_correct,semantic_incorrect,False,Wrong Answer,False,,,1771565545,False
deepseek-r1-distill-llama-70b,Java,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,1,40.8,1771565767,False
gemma2-9b-it,C++,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,0,8.5,1771565985,False
gemma2-9b-it,Java,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,1,40.7,1771566138,False
gemma2-9b-it,Python3,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,49,17.7,1771566321,False
llama-3.1-8b-instant,C++,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,0,8.6,1771566511,False
llama-3.1-8b-instant,Java,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,1,40.7,1771566703,False
llama-3.1-8b-instant,Python3,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,26,17.7,1771566892,False
llama-3.3-70b-versatile,C++,reverse-integer,7,actual_correct,invalid,False,Runtime Error,False,,,1771567099,False
llama-3.3-70b-versatile,Java,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,1,41.2,1771567258,False
llama-3.3-70b-versatile,Python3,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,50,17.7,1771567443,False
llama3-70b-8192,C++,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,0,8.7,1771567642,False
llama3-70b-8192,Java,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,1,40.7,1771567803,False
llama3-70b-8192,Python3,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,40,17.9,1771567978,False
llama3-8b-8192,C++,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,0,8.7,1771568153,False
llama3-8b-8192,Java,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,1,41.0,1771568326,False
llama3-8b-8192,Python3,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,23,17.7,1771568484,False
meta-llama_llama-4-maverick-17b-128e-instruct,C++,reverse-integer,7,plausible,invalid,False,Runtime Error,False,,,1771568667,False
meta-llama_llama-4-maverick-17b-128e-instruct,Java,reverse-integer,7,plausible,actual_correct,False,Accepted,True,1,40.8,1771568833,False
meta-llama_llama-4-maverick-17b-128e-instruct,Python3,reverse-integer,7,actual_correct,invalid,False,Runtime Error,False,,,1771569011,False
meta-llama_llama-4-scout-17b-16e-instruct,C++,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,0,8.5,1771569186,False
meta-llama_llama-4-scout-17b-16e-instruct,Java,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,1,40.9,1771569371,False
meta-llama_llama-4-scout-17b-16e-instruct,Python3,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,31,17.8,1771569538,False
moonshotai_kimi-k2-instruct,C++,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,0,8.6,1771569725,False
moonshotai_kimi-k2-instruct,Java,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,1,40.9,1771569915,False
moonshotai_kimi-k2-instruct,Python3,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,42,17.8,1771570105,False
qwen_qwen3-32b,C++,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,0,8.6,1771570278,False
qwen_qwen3-32b,Python3,reverse-integer,7,actual_correct,actual_correct,True,Accepted,True,50,17.7,1771570449,False
allam-2-7b,C++,valid-parentheses,20,actual_correct,semantic_incorrect,False,Wrong Answer,False,,,1771570652,False
allam-2-7b,Java,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,2,41.8,1771570835,False
allam-2-7b,Python3,valid-parentheses,20,actual_correct,semantic_incorrect,False,Wrong Answer,False,,,1771571056,False
deepseek-r1-distill-llama-70b,C++,valid-parentheses,20,plausible,actual_correct,False,Accepted,True,1,9.1,1771571243,False
deepseek-r1-distill-llama-70b,Java,valid-parentheses,20,plausible,invalid,False,Compile Error,False,,,1771571515,False
deepseek-r1-distill-llama-70b,Python3,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,0,18.1,1771571705,False
gemma2-9b-it,C++,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,0,9.0,1771571851,False
gemma2-9b-it,Java,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,4,42.0,1771572019,False
gemma2-9b-it,Python3,valid-parentheses,20,actual_correct,invalid,False,Runtime Error,False,,,1771572191,False
llama-3.1-8b-instant,C++,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,0,9.2,1771572427,False
llama-3.1-8b-instant,Java,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,4,42.0,1771572630,False
llama-3.1-8b-instant,Python3,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,3,17.7,1771572807,False
llama-3.3-70b-versatile,C++,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,0,8.8,1771572955,False
llama-3.3-70b-versatile,Java,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,2,42.0,1771573157,False
llama-3.3-70b-versatile,Python3,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,4,18.1,1771573363,False
llama3-70b-8192,C++,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,4,9.9,1771573506,False
llama3-70b-8192,Java,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,2,41.5,1771573676,False
llama3-70b-8192,Python3,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,3,17.9,1771573855,False
llama3-8b-8192,C++,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,0,10.1,1771574029,False
llama3-8b-8192,Java,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,2,41.8,1771574190,False
llama3-8b-8192,Python3,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,4,17.9,1771574372,False
meta-llama_llama-4-maverick-17b-128e-instruct,C++,valid-parentheses,20,plausible,actual_correct,False,Accepted,True,0,9.0,1771574554,False
meta-llama_llama-4-maverick-17b-128e-instruct,Java,valid-parentheses,20,plausible,actual_correct,False,Accepted,True,2,41.9,1771574741,False
meta-llama_llama-4-maverick-17b-128e-instruct,Python3,valid-parentheses,20,plausible,invalid,False,Runtime Error,False,,,1771574916,False
meta-llama_llama-4-scout-17b-16e-instruct,C++,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,0,8.9,1771575134,False
meta-llama_llama-4-scout-17b-16e-instruct,Java,valid-parentheses,20,plausible,actual_correct,False,Accepted,True,2,42.4,1771575319,False
meta-llama_llama-4-scout-17b-16e-instruct,Python3,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,2,17.8,1771575487,False
moonshotai_kimi-k2-instruct,C++,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,1,8.9,1771575649,False
moonshotai_kimi-k2-instruct,Java,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,1,41.8,1771575830,False
moonshotai_kimi-k2-instruct,Python3,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,0,17.9,1771576000,False
qwen_qwen3-32b,C++,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,0,9.0,1771576175,False
qwen_qwen3-32b,Java,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,4,41.6,1771576355,False
qwen_qwen3-32b,Python3,valid-parentheses,20,actual_correct,actual_correct,True,Accepted,True,0,17.9,1771576523,False
allam-2-7b,C++,merge-k-sorted-lists,23,actual_correct,semantic_incorrect,False,Wrong Answer,False,,,1771576714,False
allam-2-7b,Java,merge-k-sorted-lists,23,actual_correct,invalid,False,Runtime Error,False,,,1771576882,False
allam-2-7b,Python3,merge-k-sorted-lists,23,actual_correct,invalid,False,Runtime Error,False,,,1771577053,False
deepseek-r1-distill-llama-70b,C++,merge-k-sorted-lists,23,plausible,actual_correct,False,Accepted,True,0,18.2,1771577216,False
deepseek-r1-distill-llama-70b,Java,merge-k-sorted-lists,23,plausible,actual_correct,False,Accepted,True,6,44.3,1771577405,False
deepseek-r1-distill-llama-70b,Python3,merge-k-sorted-lists,23,plausible,invalid,False,Runtime Error,False,,,1771577585,False
gemma2-9b-it,C++,merge-k-sorted-lists,23,actual_correct,actual_correct,True,Accepted,True,3,19.0,1771577781,False
gemma2-9b-it,Java,merge-k-sorted-lists,23,plausible,actual_correct,False,Accepted,True,1,44.7,1771577968,False
gemma2-9b-it,Python3,merge-k-sorted-lists,23,actual_correct,invalid,False,Runtime Error,False,,,1771578164,False
llama-3.1-8b-instant,C++,merge-k-sorted-lists,23,actual_correct,semantic_incorrect,False,Wrong Answer,False,,,1771578361,False
llama-3.1-8b-instant,Java,merge-k-sorted-lists,23,plausible,actual_correct,False,Accepted,True,4,44.3,1771578528,False
llama-3.1-8b-instant,Python3,merge-k-sorted-lists,23,plausible,actual_correct,False,Accepted,True,19,21.3,1771578714,False
llama-3.3-70b-versatile,C++,merge-k-sorted-lists,23,actual_correct,actual_correct,True,Accepted,True,7,18.5,1771578870,False
llama-3.3-70b-versatile,Java,merge-k-sorted-lists,23,actual_correct,actual_correct,True,Accepted,True,1,44.9,1771579047,False
llama-3.3-70b-versatile,Python3,merge-k-sorted-lists,23,plausible,invalid,False,Runtime Error,False,,,1771579227,False
llama3-70b-8192,C++,merge-k-sorted-lists,23,actual_correct,actual_correct,True,Accepted,True,5,18.5,1771579383,False
llama3-70b-8192,Java,merge-k-sorted-lists,23,actual_correct,actual_correct,True,Accepted,True,4,44.4,1771579556,False
llama3-70b-8192,Python3,merge-k-sorted-lists,23,plausible,actual_correct,False,Accepted,True,8,20.2,1771579748,False
llama3-8b-8192,C++,merge-k-sorted-lists,23,actual_correct,actual_correct,True,Accepted,True,0,18.6,1771579932,False
llama3-8b-8192,Java,merge-k-sorted-lists,23,actual_correct,actual_correct,True,Accepted,True,4,44.2,1771580111,False
llama3-8b-8192,Python3,merge-k-sorted-lists,23,actual_correct,invalid,False,Runtime Error,False,,,1771580332,False
meta-llama_llama-4-maverick-17b-128e-instruct,Java,merge-k-sorted-lists,23,plausible,actual_correct,False,Accepted,True,1,44.4,1771580493,False
meta-llama_llama-4-maverick-17b-128e-instruct,Python3,merge-k-sorted-lists,23,plausible,invalid,False,Runtime Error,False,,,1771580684,False
meta-llama_llama-4-scout-17b-16e-instruct,C++,merge-k-sorted-lists,23,actual_correct,actual_correct,True,Accepted,True,0,18.6,1771580854,False
meta-llama_llama-4-scout-17b-16e-instruct,Java,merge-k-sorted-lists,23,actual_correct,actual_correct,True,Accepted,True,1,44.9,1771581049,False
meta-llama_llama-4-scout-17b-16e-instruct,Python3,merge-k-sorted-lists,23,plausible,actual_correct,False,Accepted,True,7,20.4,1771581240,False
moonshotai_kimi-k2-instruct,C++,merge-k-sorted-lists,23,actual_correct,actual_correct,True,Accepted,True,1,18.5,1771581410,False
moonshotai_kimi-k2-instruct,Java,merge-k-sorted-lists,23,actual_correct,actual_correct,True,Accepted,True,4,44.5,1771581599,False
moonshotai_kimi-k2-instruct,Python3,merge-k-sorted-lists,23,plausible,actual_correct,False,Accepted,True,8,20.4,1771581789,False
qwen_qwen3-32b,C++,merge-k-sorted-lists,23,actual_correct,actual_correct,True,Accepted,True,4,18.3,1771581965,False
qwen_qwen3-32b,Java,merge-k-sorted-lists,23,actual_correct,actual_correct,True,Accepted,True,4,44.3,1771582125,False
qwen_qwen3-32b,Python3,merge-k-sorted-lists,23,plausible,invalid,False,Runtime Error,False,,,1771582309,False
allam-2-7b,C++,substring-with-concatenation-of-all-words,30,actual_correct,semantic_incorrect,False,Wrong Answer,False,,,1771582506,False
allam-2-7b,Java,substring-with-concatenation-of-all-words,30,actual_correct,invalid,False,Runtime Error,False,,,1771582772,False
allam-2-7b,Python3,substring-with-concatenation-of-all-words,30,plausible,invalid,False,Runtime Error,False,,,1771582989,False
deepseek-r1-distill-llama-70b,C++,substring-with-concatenation-of-all-words,30,plausible,invalid,False,Time Limit Exceeded,False,,,1771583196,False
deepseek-r1-distill-llama-70b,Java,substring-with-concatenation-of-all-words,30,plausible,invalid,False,Time Limit Exceeded,False,,,1771583479,False
gemma2-9b-it,C++,substring-with-concatenation-of-all-words,30,actual_correct,invalid,False,Runtime Error,False,,,1771583715,False
gemma2-9b-it,Java,substring-with-concatenation-of-all-words,30,actual_correct,invalid,False,Time Limit Exceeded,False,,,1771583929,False
gemma2-9b-it,Python3,substring-with-concatenation-of-all-words,30,actual_correct,invalid,False,Runtime Error,False,,,1771584157,False
llama-3.1-8b-instant,C++,substring-with-concatenation-of-all-words,30,plausible,invalid,False,Runtime Error,False,,,1771584347,False
llama-3.1-8b-instant,Java,substring-with-concatenation-of-all-words,30,plausible,invalid,False,Time Limit Exceeded,False,,,1771584527,False
llama-3.1-8b-instant,Python3,substring-with-concatenation-of-all-words,30,plausible,invalid,False,Time Limit Exceeded,False,,,1771584820,False
llama-3.3-70b-versatile,C++,substring-with-concatenation-of-all-words,30,actual_correct,invalid,False,Runtime Error,False,,,1771585166,False
llama-3.3-70b-versatile,Java,substring-with-concatenation-of-all-words,30,actual_correct,invalid,False,Time Limit Exceeded,False,,,1771585359,False
llama-3.3-70b-versatile,Python3,substring-with-concatenation-of-all-words,30,actual_correct,invalid,False,Runtime Error,False,,,1771585671,False
llama3-70b-8192,C++,substring-with-concatenation-of-all-words,30,actual_correct,invalid,False,Runtime Error,False,,,1771585865,False
llama3-70b-8192,Java,substring-with-concatenation-of-all-words,30,actual_correct,invalid,False,Time Limit Exceeded,False,,,1771586053,False
llama3-70b-8192,Python3,substring-with-concatenation-of-all-words,30,actual_correct,semantic_incorrect,False,Wrong Answer,False,,,1771586323,False
llama3-8b-8192,C++,substring-with-concatenation-of-all-words,30,actual_correct,semantic_incorrect,False,Wrong Answer,False,,,1771586505,False
llama3-8b-8192,Java,substring-with-concatenation-of-all-words,30,actual_correct,invalid,False,Time Limit Exceeded,False,,,1771586684,False
llama3-8b-8192,Python3,substring-with-concatenation-of-all-words,30,actual_correct,semantic_incorrect,False,Wrong Answer,False,,,1771586942,False
meta-llama_llama-4-maverick-17b-128e-instruct,C++,substring-with-concatenation-of-all-words,30,plausible,invalid,False,Runtime Error,False,,,1771587203,False
meta-llama_llama-4-maverick-17b-128e-instruct,Java,substring-with-concatenation-of-all-words,30,plausible,invalid,False,Time Limit Exceeded,False,,,1771587396,False
meta-llama_llama-4-maverick-17b-128e-instruct,Python3,substring-with-concatenation-of-all-words,30,actual_correct,invalid,False,Runtime Error,False,,,1771587695,False
meta-llama_llama-4-scout-17b-16e-instruct,C++,substring-with-concatenation-of-all-words,30,actual_correct,invalid,False,Runtime Error,False,,,1771587845,False
meta-llama_llama-4-scout-17b-16e-instruct,Java,substring-with-concatenation-of-all-words,30,plausible,invalid,False,Time Limit Exceeded,False,,,1771588035,False
meta-llama_llama-4-scout-17b-16e-instruct,Python3,substring-with-concatenation-of-all-words,30,actual_correct,actual_correct,True,Accepted,True,9581,18.6,1771588323,False
moonshotai_kimi-k2-instruct,C++,substring-with-concatenation-of-all-words,30,actual_correct,actual_correct,True,Accepted,True,28,23.9,1771588709,False
moonshotai_kimi-k2-instruct,Java,substring-with-concatenation-of-all-words,30,actual_correct,actual_correct,True,Accepted,True,12,45.3,1771588892,False
moonshotai_kimi-k2-instruct,Python3,substring-with-concatenation-of-all-words,30,actual_correct,actual_correct,True,Accepted,True,20,18.5,1771589059,False
allam-2-7b,C++,multiply-strings,43,plausible,invalid,False,Compile Error,False,,,1771589283,False
allam-2-7b,Java,multiply-strings,43,plausible,invalid,False,Runtime Error,False,,,1771589490,False
deepseek-r1-distill-llama-70b,C++,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,0,9.7,1771589809,False
deepseek-r1-distill-llama-70b,Java,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,2,42.0,1771590006,False
deepseek-r1-distill-llama-70b,Python3,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,35,18.1,1771590190,False
gemma2-9b-it,C++,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,0,10.7,1771590362,False
gemma2-9b-it,Java,multiply-strings,43,actual_correct,semantic_incorrect,False,Wrong Answer,False,,,1771590557,False
llama-3.1-8b-instant,C++,multiply-strings,43,plausible,semantic_incorrect,False,Wrong Answer,False,,,1771590761,False
llama-3.1-8b-instant,Java,multiply-strings,43,plausible,actual_correct,False,Accepted,True,3,42.2,1771590974,False
llama-3.3-70b-versatile,C++,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,4,10.8,1771591143,False
llama-3.3-70b-versatile,Java,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,2,42.2,1771591343,False
llama3-70b-8192,C++,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,4,9.6,1771591548,False
llama3-70b-8192,Java,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,3,42.0,1771591731,False
llama3-8b-8192,C++,multiply-strings,43,actual_correct,semantic_incorrect,False,Wrong Answer,False,,,1771591934,False
llama3-8b-8192,Java,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,3,43.3,1771592143,False
meta-llama_llama-4-maverick-17b-128e-instruct,C++,multiply-strings,43,plausible,actual_correct,False,Accepted,True,0,10.6,1771592362,False
meta-llama_llama-4-maverick-17b-128e-instruct,Java,multiply-strings,43,plausible,actual_correct,False,Accepted,True,2,42.2,1771592539,False
meta-llama_llama-4-maverick-17b-128e-instruct,Python3,multiply-strings,43,actual_correct,invalid,False,Runtime Error,False,,,1771592741,False
meta-llama_llama-4-scout-17b-16e-instruct,C++,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,3,9.4,1771592930,False
meta-llama_llama-4-scout-17b-16e-instruct,Java,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,2,42.9,1771593121,False
moonshotai_kimi-k2-instruct,C++,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,0,10.6,1771593334,False
moonshotai_kimi-k2-instruct,Java,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,2,42.6,1771593518,False
moonshotai_kimi-k2-instruct,Python3,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,41,18.1,1771593687,False
qwen_qwen3-32b,C++,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,0,9.5,1771593890,False
qwen_qwen3-32b,Java,multiply-strings,43,actual_correct,actual_correct,True,Accepted,True,3,42.1,1771594097,False
allam-2-7b,C++,minimum-window-substring,76,actual_correct,invalid,False,Compile Error,False,,,1771594300,False
allam-2-7b,Java,minimum-window-substring,76,actual_correct,invalid,False,Runtime Error,False,,,1771594512,False
